Unnamed: 0,repo_id,username,robot_type,total_episodes,total_frames,fps,camera_keys,num_cameras,video_keys,has_video,total_tasks,tasks,is_sim,is_eval,features,chunks_size,total_chunks,version,creation_date
1965,Chojins/chess_game_009_white,Chojins,so100,331,137287,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Move the blue chess pieces as indicated by the highlighted squares""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-29 09:32:48+00:00
2114,1g0rrr/sam_openpi03,1g0rrr,so100,90,26910,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a blue cube and put it in the gray box.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-19 03:13:31+00:00
2152,sihyun77/suho_3_17_1,sihyun77,so100,30,26062,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-17 02:36:08+00:00
2157,sihyun77/sihyun_3_17_2,sihyun77,so100,30,25149,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-17 05:02:02+00:00
2158,sihyun77/suho_3_17_3,sihyun77,so100,50,34931,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-17 07:25:11+00:00
2161,sihyun77/sihyun_3_17_5,sihyun77,so100,30,33443,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-17 10:47:08+00:00
2182,Odog16/so100_cube_drop_pick_v1,Odog16,so100,40,9687,30.0,"observation.images.workspace,observation.images.wrist",2,"observation.images.workspace,observation.images.wrist",True,1,"{""0"": ""Pick up orange cube, drop it, then retrieve it""}",False,False,"action,observation.state,observation.images.workspace,observation.images.wrist,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-17 19:29:44+00:00
2204,sihyun77/sihyun_main_2,sihyun77,so100,50,28961,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-18 07:33:38+00:00
2206,sihyun77/suho_main_2,sihyun77,so100,53,30653,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-18 08:59:16+00:00
2229,Bartm3/dice2,Bartm3,so100,100,32954,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a dice and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-27 21:10:49+00:00
2237,sihyun77/sihyun_main_3,sihyun77,so100,30,17471,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-19 01:08:50+00:00
2266,Loki0929/so100_duck,Loki0929,so100,300,133320,30.0,"observation.images.top,observation.images.third,observation.images.wrist",3,"observation.images.top,observation.images.third,observation.images.wrist",True,1,"{""0"": ""Grasp red, green, yellow ducks and put them in the box.""}",False,False,"action,observation.state,observation.images.top,observation.images.third,observation.images.wrist,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-20 12:35:03+00:00
2285,pietroom/holdthis,pietroom,so100,90,40410,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Hold this""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-19 18:06:51+00:00
2290,pietroom/actualeasytask,pietroom,so100,60,17948,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""easy transfer""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-19 19:53:15+00:00
2360,Beegbrain/pick_lemon_and_drop_in_bowl,Beegbrain,so100,40,15352,30.0,"observation.images.realsense_top,observation.images.realsense_side",2,"observation.images.realsense_top,observation.images.realsense_side",True,1,"{""0"": ""Pick the yellow lemon and drop it in the red bowl""}",False,False,"action,observation.state,observation.images.realsense_top,observation.images.realsense_side,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-21 15:35:58+00:00
2361,Beegbrain/sweep_tissue_cube,Beegbrain,so100,30,16063,30.0,"observation.images.realsense_top,observation.images.realsense_side",2,"observation.images.realsense_top,observation.images.realsense_side",True,1,"{""0"": ""Sweep the red cubes to the right with the tissue bag""}",False,False,"action,observation.state,observation.images.realsense_top,observation.images.realsense_side,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-21 16:05:14+00:00
2371,zijian2022/321,zijian2022,so100,30,10770,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-21 19:32:34+00:00
2379,1g0rrr/sam_openpi_solder1,1g0rrr,so100,46,16904,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""bring contact to the pad on the board.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-22 00:06:25+00:00
2381,1g0rrr/sam_openpi_solder2,1g0rrr,so100,55,16445,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""bring contact to the pad on the board.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-22 03:44:49+00:00
2427,gxy1111/so100_pick_place,gxy1111,so100,50,12914,30.0,"observation.images.eye,observation.images.wrist",2,"observation.images.eye,observation.images.wrist",True,1,"{""0"": ""Grasp a toy panda and put it in the cup.""}",False,False,"action,observation.state,observation.images.eye,observation.images.wrist,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-23 13:36:39+00:00
2460,Odog16/so100_cube_stacking_v1,Odog16,so100,50,38707,30.0,"observation.images.Workspace,observation.images.Wrist",2,"observation.images.Workspace,observation.images.Wrist",True,1,"{""0"": ""stack cubes in order black blue orange""}",False,False,"action,observation.state,observation.images.Workspace,observation.images.Wrist,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-23 23:21:38+00:00
2465,sihyun77/mond_1,sihyun77,so100,30,17401,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-24 01:00:04+00:00
2466,andlyu/so100_indoor_1,andlyu,so100,31,26135,30.0,"observation.images.arm_left,observation.images.arm_right,observation.images.base_left,observation.images.base_right",4,"observation.images.arm_left,observation.images.arm_right,observation.images.base_left,observation.images.base_right",True,1,"{""0"": ""Pick up blueberry.""}",False,False,"action,observation.state,observation.images.arm_left,observation.images.arm_right,observation.images.base_left,observation.images.base_right,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-24 01:40:22+00:00
2471,andlyu/so100_indoor_3,andlyu,so100,37,31529,30.0,"observation.images.arm_left,observation.images.arm_right,observation.images.base_left,observation.images.base_right",4,"observation.images.arm_left,observation.images.arm_right,observation.images.base_left,observation.images.base_right",True,1,"{""0"": ""Pick up blueberry.""}",False,False,"action,observation.state,observation.images.arm_left,observation.images.arm_right,observation.images.base_left,observation.images.base_right,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-24 05:43:45+00:00
2483,frk2/so100large,frk2,so100,50,14949,30.0,"observation.images.wrist,observation.images.top",2,"observation.images.wrist,observation.images.top",True,1,"{""0"": ""Pick up roll of tape and put it in the bin""}",False,False,"action,observation.state,observation.images.wrist,observation.images.top,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-24 19:33:38+00:00
2519,lirislab/sweep_tissue_cube,lirislab,so100,30,16063,30.0,"observation.images.realsense_top,observation.images.realsense_side",2,"observation.images.realsense_top,observation.images.realsense_side",True,1,"{""0"": ""Sweep the red cubes to the right with the tissue bag""}",False,False,"action,observation.state,observation.images.realsense_top,observation.images.realsense_side,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-25 16:41:10+00:00
2520,lirislab/lemon_into_bowl,lirislab,so100,40,15352,30.0,"observation.images.realsense_top,observation.images.realsense_side",2,"observation.images.realsense_top,observation.images.realsense_side",True,1,"{""0"": ""Pick the yellow lemon and drop it in the red bowl""}",False,False,"action,observation.state,observation.images.realsense_top,observation.images.realsense_side,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-25 16:45:37+00:00
2521,lirislab/red_cube_into_green_lego_block,lirislab,so100,30,11447,30.0,"observation.images.realsense_side,observation.images.realsense_top",2,"observation.images.realsense_side,observation.images.realsense_top",True,1,"{""0"": ""First serious test""}",False,False,"action,observation.state,observation.images.realsense_side,observation.images.realsense_top,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0,2025-03-25 16:59:46+00:00
2522,lirislab/red_cube_into_blue_cube,lirislab,so100,45,13634,30.0,"observation.images.realsense_side,observation.images.realsense_top",2,"observation.images.realsense_side,observation.images.realsense_top",True,1,"{""0"": ""Puttingg red block on blue one""}",False,False,"action,observation.state,observation.images.realsense_side,observation.images.realsense_top,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0,2025-03-25 17:02:50+00:00
2527,00ri/so100_battery,00ri,so100,50,24263,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a battery and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-26 00:55:29+00:00
2537,frk2/so100largediffcam,frk2,so100,50,22398,30.0,"observation.images.wrist,observation.images.top",2,"observation.images.wrist,observation.images.top",True,1,"{""0"": ""Pick up roll of tape and put it in the bin""}",False,False,"action,observation.state,observation.images.wrist,observation.images.top,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-26 05:14:09+00:00
2544,FsqZ/so100_1,FsqZ,so100,40,19197,30.0,observation.images.side,1,observation.images.side,True,1,"{""0"": ""put the yellow cube inside the purple box""}",False,False,"action,observation.state,observation.images.side,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0,2025-03-26 07:41:11+00:00
2547,ZGGZZG/so100_drop0,ZGGZZG,so100,33,15852,30.0,"observation.images.left,observation.images.up",2,"observation.images.left,observation.images.up",True,1,"{""0"": ""Grasp a ball and put it in the hole.""}",False,False,"action,observation.state,observation.images.left,observation.images.up,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-26 08:11:42+00:00
2595,Chojins/chess_game_000_white_red,Chojins,so100,103,40377,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Move the red chess pieces as indicated by the highlighted squares""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-29 06:43:57+00:00
2613,smanni/train_so100_fluffy_box,smanni,so100,103,61490,30.0,observation.images.intel_realsense,1,observation.images.intel_realsense,True,1,"{""0"": ""Grasp a small object and place it in the box""}",False,False,"action,observation.state,observation.images.intel_realsense,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-27 13:51:11+00:00
2636,ganker5/so100_push_20250328,ganker5,so100,50,16089,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-28 05:34:14+00:00
2637,ganker5/so100_dataline_0328,ganker5,so100,50,24918,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-28 06:59:39+00:00
2642,ganker5/so100_color_0328,ganker5,so100,50,17414,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-28 09:20:20+00:00
2682,CrazyYhang/A1234-B-C_mvA2B,CrazyYhang,so100,30,15989,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""4 disk hanoi solution""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-29 03:36:07+00:00
2690,RasmusP/so100_Orange2Green,RasmusP,so100,50,29712,30.0,"observation.images.webcam,observation.images.phone",2,"observation.images.webcam,observation.images.phone",True,1,"{""0"": ""Grasp the orange block and drop it in the box.""}",False,False,"action,observation.state,observation.images.webcam,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-04-13 09:37:15+00:00
2718,sixpigs1/so100_pick_cube_in_box,sixpigs1,so100,100,28234,30.0,"observation.images.above,observation.images.rightfront",2,"observation.images.above,observation.images.rightfront",True,1,"{""0"": ""Pick up the red cube and put it in the box.""}",False,False,"action,observation.state,observation.images.above,observation.images.rightfront,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-30 12:44:38+00:00
2724,ganker5/so100_push_20250331,ganker5,so100,60,36647,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-31 02:18:38+00:00
2725,ganker5/so100_dataline_20250331,ganker5,so100,50,30443,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-31 03:07:36+00:00
2739,lirislab/put_caps_into_teabox,lirislab,so100,30,10759,30.0,"observation.images.realsense_top,observation.images.realsense_side",2,"observation.images.realsense_top,observation.images.realsense_side",True,1,"{""0"": ""Pick the coffee caps and put it into the top drawer of the teabox""}",False,False,"action,observation.state,observation.images.realsense_top,observation.images.realsense_side,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-31 13:57:46+00:00
2740,lirislab/close_top_drawer_teabox,lirislab,so100,30,5502,30.0,"observation.images.realsense_top,observation.images.realsense_side",2,"observation.images.realsense_top,observation.images.realsense_side",True,1,"{""0"": ""Close the top drawer of the teabox""}",False,False,"action,observation.state,observation.images.realsense_top,observation.images.realsense_side,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-31 14:09:37+00:00
2741,lirislab/open_top_drawer_teabox,lirislab,so100,30,9600,30.0,"observation.images.realsense_top,observation.images.realsense_side",2,"observation.images.realsense_top,observation.images.realsense_side",True,1,"{""0"": ""Open the top drawer of the teabox""}",False,False,"action,observation.state,observation.images.realsense_top,observation.images.realsense_side,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-31 14:22:29+00:00
2742,lirislab/unfold_bottom_right,lirislab,so100,30,9374,30.0,"observation.images.realsense_top,observation.images.realsense_side",2,"observation.images.realsense_top,observation.images.realsense_side",True,1,"{""0"": ""Unfold the bag from bottom right corner""}",False,False,"action,observation.state,observation.images.realsense_top,observation.images.realsense_side,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-31 14:39:56+00:00
2745,lirislab/push_cup_target,lirislab,so100,30,8528,30.0,"observation.images.realsense_top,observation.images.realsense_side",2,"observation.images.realsense_top,observation.images.realsense_side",True,1,"{""0"": ""Push the red cup to the pink target""}",False,False,"action,observation.state,observation.images.realsense_top,observation.images.realsense_side,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-31 15:04:46+00:00
2748,lirislab/put_banana_bowl,lirislab,so100,30,9717,30.0,"observation.images.realsense_top,observation.images.realsense_side",2,"observation.images.realsense_top,observation.images.realsense_side",True,1,"{""0"": ""Put the banana into the red bowl""}",False,False,"action,observation.state,observation.images.realsense_top,observation.images.realsense_side,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-03-31 15:21:54+00:00
2761,Chojins/chess_game_001_blue_stereo,Chojins,so100-blue,307,109498,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Move the blue chess pieces as indicated by the highlighted squares""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-04-13 07:07:17+00:00
2777,Chojins/chess_game_001_red_stereo,Chojins,so100-red,268,100850,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Move the red chess pieces as indicated by the highlighted squares""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-04-13 07:11:59+00:00
2828,ganker5/so100_toy_20250402,ganker5,so100,100,53671,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-04-02 03:33:53+00:00
2860,Gano007/so100_medic,Gano007,so100,50,17946,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a medic box and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-04-02 11:33:13+00:00
2917,00ri/so100_battery_bin_center,00ri,so100,50,17715,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a battery and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1,2025-04-03 21:42:28+00:00
